,2010_Gangwon,2010_Gyeonggi,2010_Gyeongnam,2010_Gyeongbuk,2010_Gwangju,2010_Daegu,2010_Daejeon,2010_Busan,2010_Seoul,2010_Ulsan,2010_Incheon,2010_Jeonnam,2010_Jeonbuk,2010_Jeju,2010_Chungnam,2010_Chungbuk,2014_Gangwon,2014_Gyeonggi,2014_Gyeongnam,2014_Gyeongbuk,2014_Gwangju,2014_Daegu,2014_Daejeon,2014_Busan,2014_Seoul,2014_Sejong,2014_Ulsan,2014_Incheon,2014_Jeonnam,2014_Jeonbuk,2014_Jeju,2014_Chungnam,2014_Chungbuk,2018_Gangwon,2018_Gyeonggi,2018_Gyeongnam,2018_Gyeongbuk,2018_Gwangju,2018_Daegu,2018_Daejeon,2018_Busan,2018_Seoul,2018_Sejong,2018_Ulsan,2018_Incheon,2018_Jeonnam,2018_Jeonbuk,2018_Jeju,2018_Chungnam,2018_Chungbuk
2010_Gangwon,0.0,6669910705851.0,961920753030.0,436532807261.0,88897813885.0,159096783795.0,156896971205.0,250955821156.0,5954901467140.0,67695321761.0,49012167483.0,134206820146.0,75238897187.0,204555887886.0,154205973693.0,1672018021.0,3433598593.0,9305465287539.0,337833711173.0,389248960749.0,191017896146.0,46399013828.0,7591437217.0,920554884651.0,8852637135045.0,215771034553.0,144920609745.0,122964953092.0,287780904059.0,125126390545.0,97898254113.0,20526394602.0,3057527241.0,48305235465.0,12594683562561.0,528309218597.0,189282554573.0,190165287392.0,75258085509.0,35325571227.0,453338791054.0,7326247142068.0,185081740915.0,22632548868.0,207660779342.0,400314863521.0,325859040246.0,208200339065.0,86318980937.0,49774024130.0
2010_Gyeonggi,6669910705851.0,0.0,7212778308189.0,5593903321450.0,8006134924766.0,6428354313416.0,8205432946298.0,4412188586043.0,44167178763.0,7775028012230.0,5588466794808.0,6716821951161.0,6778383973328.0,9046923127993.0,7452321956402.0,6848654505966.0,6522422530686.0,256664424004.0,4297019043574.0,5530728638646.0,7868878383221.0,5695395675515.0,6984605321598.0,7222827536536.0,241268962470.0,9246410991746.0,8305757555114.0,4982916825483.0,6233540605280.0,6420563169366.0,8380963774302.0,6123486899033.0,6677776325754.0,6331199965530.0,1376777983518.0,3500799910506.0,5018418451442.0,7074706757723.0,5429882301154.0,6979449786536.0,3866519842409.0,2088881060579.0,8981279478008.0,7219192585715.0,4859784019137.0,6305748246086.0,6754249778225.0,8831866590478.0,5766724817878.0,6691159058869.0
2010_Gyeongnam,961920753030.0,7212778308189.0,0.0,473688242669.0,956628587641.0,570289881213.0,613980133445.0,1066423071166.0,6464594057602.0,830928234875.0,1009832150745.0,1132885354504.0,1134982024253.0,967119838596.0,653950048017.0,933879940069.0,902486099761.0,10092151858797.0,1383251403005.0,1738346936451.0,454562481254.0,1046077761074.0,902220917353.0,1135257460041.0,9211237632795.0,1159501089931.0,999457662873.0,1043556217246.0,455889478229.0,564223822417.0,1074472172787.0,828999860538.0,894730859829.0,796260539853.0,11668406273523.0,1177183611275.0,948710338505.0,593074925606.0,1005361501905.0,717142642221.0,930553307950.0,5161551184390.0,1056420551065.0,834272597334.0,760853516018.0,371753159221.0,309978042468.0,734886388715.0,757510396001.0,681798376418.0
2010_Gyeongbuk,436532807261.0,5593903321450.0,473688242669.0,0.0,730098746596.0,88202562686.0,562897223088.0,280947397433.0,5052703611113.0,426323779950.0,395075405258.0,861440379341.0,768474001418.0,837553499753.0,657489697802.0,431972417516.0,364333492536.0,8209685630474.0,725692011194.0,1240448379646.0,316936424251.0,459398893425.0,404911584008.0,1657670179066.0,7260362319990.0,824851068546.0,861614207684.0,353170762793.0,28853381570.0,109088212046.0,697250436702.0,283706462373.0,375384964334.0,209942357270.0,10103600021838.0,396568246766.0,534914175912.0,141170439333.0,445822324024.0,290451753326.0,242683962859.0,5016654471949.0,716535856098.0,387876804725.0,137475587817.0,23477407896.0,74566653965.0,619492535318.0,153207786888.0,218884730589.0
2010_Gwangju,88897813885.0,8006134924766.0,956628587641.0,730098746596.0,0.0,337427738010.0,51620623844.0,607627737449.0,7168704427337.0,80667111686.0,236887245262.0,116351972129.0,80924822286.0,41227542797.0,60414760650.0,75763889912.0,115646944052.0,10843158970238.0,616460336106.0,489734688590.0,172084346779.0,210567033281.0,78529115524.0,709176857918.0,10461578217318.0,99449428562.0,7859653208.0,385615105145.0,498602873446.0,286463804702.0,34924065750.0,172462220481.0,100101154702.0,216942486982.0,14384590435110.0,973615064126.0,363449764524.0,323696174325.0,254974513964.0,111731841530.0,862699275251.0,8391467594741.0,94969054694.0,73307759661.0,510853716581.0,611108226500.0,459176390745.0,87563828014.0,307204032340.0,165504280393.0
2010_Daegu,159096783795.0,6428354313416.0,570289881213.0,88202562686.0,337427738010.0,0.0,249641316302.0,250171794795.0,5802022104291.0,128544556046.0,199606968120.0,504982355985.0,412565361064.0,406043008929.0,352371397374.0,148876936434.0,118728870770.0,9156773372076.0,593388402842.0,904213869062.0,110238803385.0,237775886387.0,126398949218.0,1350557904472.0,8345752610134.0,381836071530.0,436214373854.0,226151805051.0,21420359960.0,2822402586.0,292746090934.0,90734363669.0,119145271974.0,39418666806.0,11634053810998.0,478721287754.0,384868762206.0,16461068691.0,254210270734.0,63840729296.0,333298216805.0,6257346197507.0,310550297832.0,111424804947.0,123023986069.0,60716704578.0,49802818473.0,272613611142.0,43133488346.0,33974382689.0
2010_Daejeon,156896971205.0,8205432946298.0,613980133445.0,562897223088.0,51620623844.0,249641316302.0,0.0,667459055121.0,7370893572993.0,70411585662.0,327857016506.0,250178231013.0,211232233146.0,44327867921.0,60896945114.0,132343395468.0,166157925800.0,11155726639946.0,783937104506.0,744744467102.0,53772864963.0,315784628937.0,119075529976.0,756862241706.0,10605401408630.0,113639106850.0,64025713572.0,473156030913.0,354570787154.0,212175509598.0,78517110734.0,207255096541.0,146296534958.0,217319410262.0,14282752173374.0,1023556767614.0,454944919736.0,216834653453.0,353714932008.0,98397122718.0,859307219283.0,7952736494661.0,93120094450.0,89046250157.0,499913321521.0,420338595496.0,276016057589.0,24783096550.0,300979566648.0,139777544997.0
2010_Busan,250955821156.0,4412188586043.0,1066423071166.0,280947397433.0,607627737449.0,250171794795.0,667459055121.0,0.0,3872636808696.0,478338006261.0,95268462883.0,456204340746.0,399396292643.0,876830832854.0,572288220189.0,281597502825.0,214250549813.0,6643244785667.0,140205766109.0,486439774833.0,578346567586.0,126165023880.0,301783225157.0,1283518032339.0,6152460862121.0,891350589653.0,726225291821.0,31582298304.0,296241434331.0,234104058873.0,649865974469.0,145802822318.0,242544936217.0,177179833177.0,9346214029829.0,59093645161.0,145074342145.0,385251824884.0,103207998729.0,303272256851.0,47113671550.0,5200188465784.0,807814545131.0,350146329240.0,30555850074.0,387076477805.0,431543843862.0,803280412221.0,99878788829.0,249248052566.0
2010_Seoul,5954901467140.0,44167178763.0,6464594057602.0,5052703611113.0,7168704427337.0,5802022104291.0,7370893572993.0,3872636808696.0,0.0,7028138402745.0,4930467078739.0,5900273836758.0,5984883428723.0,8172459706154.0,6604533199689.0,6126370994601.0,5826403349117.0,406186755707.0,3672212813825.0,4767710341701.0,7108922088178.0,5017634673120.0,6264579757901.0,6247529252451.0,483565704941.0,8414395702697.0,7431942000245.0,4374515707128.0,5635598754651.0,5778508130901.0,7574427329849.0,5454534585938.0,5972755402477.0,5684940337981.0,1750928640281.0,3012692035333.0,4333612942369.0,6425949122308.0,4759967316969.0,6270694121099.0,3364460164006.0,2019782143960.0,8168743373963.0,6489975233160.0,4294811264406.0,5713275159893.0,6105990341010.0,7997998650273.0,5152981244693.0,6011085175490.0
2010_Ulsan,67695321761.0,7775028012230.0,830928234875.0,426323779950.0,80667111686.0,128544556046.0,70411585662.0,478338006261.0,7028138402745.0,0.0,215338126922.0,297935638059.0,214410725982.0,92740183979.0,179536869854.0,48302530122.0,66311219210.0,10665154498418.0,690951112742.0,744554961572.0,65131169769.0,219932266473.0,30515842210.0,1131139470378.0,10022190675668.0,72930992620.0,132399020742.0,330836150181.0,240912589742.0,107613928158.0,34718671184.0,101902160317.0,52160685230.0,80298303062.0,13806098062352.0,842180651000.0,437712876578.0,97899019601.0,269955866514.0,22844149734.0,697413323361.0,7947234901437.0,46267176562.0,12908287613.0,354779711881.0,325866666790.0,230612134259.0,58233105952.0,158201879226.0,46034369097.0
