,광역시도,시군,pop,hannara,minju,gita
0,서울특별시,종로구,77812.0,35476.0,36910.0,5426.0
1,서울특별시,중구,60763.0,28648.0,28410.0,3705.0
2,서울특별시,용산구,105005.0,53285.0,44706.0,7014.0
3,서울특별시,성동구,135277.0,63448.0,63966.0,7863.0
4,서울특별시,광진구,158963.0,72749.0,76420.0,9794.0
5,서울특별시,동대문구,160497.0,74536.0,76032.0,9929.0
6,서울특별시,중랑구,172251.0,80577.0,81517.0,10157.0
7,서울특별시,성북구,204667.0,91907.0,99316.0,13444.0
8,서울특별시,강북구,142061.0,63231.0,70115.0,8715.0
9,서울특별시,도봉구,159958.0,74594.0,74789.0,10575.0
10,서울특별시,노원구,264044.0,119567.0,124603.0,19874.0
11,서울특별시,은평구,192939.0,85737.0,95666.0,11536.0
12,서울특별시,서대문구,146827.0,64769.0,72788.0,9270.0
13,서울특별시,마포구,172905.0,75267.0,85882.0,11756.0
14,서울특별시,양천구,214849.0,101350.0,100272.0,13227.0
15,서울특별시,강서구,242758.0,111082.0,116689.0,14987.0
16,서울특별시,구로구,187965.0,83846.0,92666.0,11453.0
17,서울특별시,금천구,103679.0,44702.0,52451.0,6526.0
18,서울특별시,영등포구,180352.0,84999.0,83982.0,11371.0
19,서울특별시,동작구,184233.0,81914.0,90859.0,11460.0
20,서울특별시,관악구,238367.0,93184.0,128444.0,16739.0
21,서울특별시,서초구,185981.0,109446.0,65626.0,10909.0
22,서울특별시,강남구,231886.0,138390.0,79094.0,14402.0
23,서울특별시,송파구,292420.0,149228.0,125414.0,17778.0
24,서울특별시,강동구,209723.0,104195.0,93098.0,12430.0
25,부산광역시,중구,21350.0,12901.0,7996.0,453.0
26,부산광역시,서구,49172.0,29328.0,19131.0,713.0
27,부산광역시,동구,43996.0,25784.0,17380.0,832.0
28,부산광역시,영도구,59112.0,30750.0,27332.0,1030.0
29,부산광역시,부산진구,157895.0,85247.0,70355.0,2293.0
30,부산광역시,동래구,109659.0,60901.0,47442.0,1316.0
31,부산광역시,남구,116776.0,63602.0,51993.0,1181.0
32,부산광역시,북구,121921.0,62561.0,57857.0,1503.0
33,부산광역시,해운대구,157525.0,85110.0,70341.0,2074.0
34,부산광역시,기장군,45026.0,25723.0,18138.0,1165.0
35,부산광역시,사하구,135482.0,74598.0,58835.0,2049.0
36,부산광역시,금정구,103570.0,58325.0,43844.0,1401.0
37,부산광역시,강서구,29933.0,15423.0,13747.0,763.0
38,부산광역시,연제구,88021.0,48791.0,38078.0,1152.0
39,부산광역시,수영구,71131.0,40880.0,29372.0,879.0
40,부산광역시,사상구,99557.0,50583.0,47724.0,1250.0
41,대구광역시,중구,31334.0,22764.0,4867.0,3703.0
42,대구광역시,동구,123904.0,87541.0,22096.0,14267.0
43,대구광역시,서구,83922.0,61781.0,12012.0,10129.0
44,대구광역시,남구,61391.0,45380.0,9059.0,6952.0
45,대구광역시,북구,150682.0,106071.0,26213.0,18398.0
46,대구광역시,수성구,166958.0,120726.0,25761.0,20471.0
47,대구광역시,달서구,200176.0,141106.0,35453.0,23617.0
48,대구광역시,달성군,67668.0,47749.0,10997.0,8922.0
49,인천광역시,중구,37876.0,17846.0,18216.0,1814.0
50,인천광역시,동구,35099.0,15714.0,17486.0,1899.0
51,인천광역시,남구,165592.0,75286.0,84170.0,6136.0
52,인천광역시,연수구,110292.0,53027.0,53495.0,3770.0
53,인천광역시,남동구,177496.0,76011.0,95283.0,6202.0
54,인천광역시,부평구,218198.0,88370.0,121650.0,8178.0
55,인천광역시,계양구,131148.0,51211.0,75847.0,4090.0
56,인천광역시,서구,143331.0,61389.0,76308.0,5634.0
57,인천광역시,강화군,37059.0,23160.0,10946.0,2953.0
58,인천광역시,옹진군,11340.0,7026.0,3501.0,813.0
59,광주광역시,동구,44017.0,8096.0,23991.0,11930.0
60,광주광역시,서구,113765.0,17783.0,61188.0,34794.0
61,광주광역시,남구,87054.0,12510.0,53512.0,21032.0
62,광주광역시,북구,168022.0,22380.0,93471.0,52171.0
63,광주광역시,광산구,117043.0,13721.0,64841.0,38481.0
64,대전광역시,동구,97967.0,28132.0,21795.0,48040.0
65,대전광역시,중구,109744.0,34128.0,21922.0,53694.0
66,대전광역시,서구,197443.0,55962.0,44371.0,97110.0
67,대전광역시,유성구,109646.0,28689.0,29079.0,51878.0
68,대전광역시,대덕구,81883.0,21705.0,20584.0,39594.0
69,울산광역시,중구,98144.0,63911.0,24441.0,9792.0
70,울산광역시,남구,137133.0,86398.0,38703.0,12032.0
71,울산광역시,동구,76495.0,41337.0,24839.0,10319.0
72,울산광역시,북구,67957.0,35719.0,24584.0,7654.0
73,울산광역시,울주군,82374.0,52056.0,20870.0,9448.0
74,경기도,수원시장안구,118498.0,56126.0,58386.0,3986.0
75,경기도,수원시권선구,113478.0,53993.0,55330.0,4155.0
76,경기도,수원시팔달구,85692.0,43066.0,39357.0,3269.0
77,경기도,수원시영통구,101911.0,46917.0,52842.0,2152.0
78,경기도,성남시수정구,92330.0,38249.0,48655.0,5426.0
79,경기도,성남시중원구,97065.0,41382.0,50010.0,5673.0
80,경기도,성남시분당구,208482.0,117016.0,87384.0,4082.0
81,경기도,의정부시,161722.0,80574.0,73877.0,7271.0
82,경기도,안양시만안구,111311.0,52386.0,54447.0,4478.0
83,경기도,안양시동안구,153906.0,72637.0,76919.0,4350.0
84,경기도,부천시원미구,175298.0,81309.0,88038.0,5951.0
85,경기도,부천시소사구,92975.0,48045.0,41799.0,3131.0
86,경기도,부천시오정구,66944.0,30082.0,33731.0,3131.0
87,경기도,광명시,141118.0,60299.0,74886.0,5933.0
88,경기도,평택시,157432.0,83870.0,64325.0,9237.0
89,경기도,양주시,72819.0,40673.0,28662.0,3484.0
90,경기도,동두천시,37833.0,21850.0,13601.0,2382.0
91,경기도,안산시상록구,128329.0,57844.0,65029.0,5456.0
92,경기도,안산시단원구,113164.0,51683.0,56548.0,4933.0
93,경기도,고양시덕양구,157155.0,75521.0,75519.0,6115.0
94,경기도,고양시일산동구,101804.0,51026.0,48177.0,2601.0
95,경기도,고양시일산서구,112929.0,57588.0,52521.0,2820.0
96,경기도,과천시,35675.0,18406.0,16313.0,956.0
97,경기도,의왕시,64134.0,30956.0,30956.0,2222.0
98,경기도,구리시,79671.0,40446.0,36229.0,2996.0
99,경기도,남양주시,197862.0,100215.0,89512.0,8135.0
100,경기도,오산시,60033.0,29183.0,28461.0,2389.0
101,경기도,화성시,181402.0,89567.0,84749.0,7086.0
102,경기도,시흥시,133757.0,62321.0,66145.0,5291.0
103,경기도,군포시,119533.0,54862.0,60919.0,3752.0
104,경기도,하남시,62718.0,33266.0,27024.0,2428.0
105,경기도,파주시,128283.0,67855.0,53324.0,7104.0
106,경기도,여주군,44845.0,26602.0,14928.0,3315.0
107,경기도,이천시,76343.0,44079.0,28589.0,3675.0
108,경기도,용인시처인구,76544.0,40926.0,31225.0,4393.0
109,경기도,용인시수지구,121275.0,67565.0,51742.0,1968.0
110,경기도,용인시기흥구,135344.0,67977.0,64354.0,3013.0
111,경기도,안성시,68113.0,34570.0,28702.0,4841.0
112,경기도,김포시,93630.0,50712.0,38832.0,4086.0
113,경기도,광주시,90793.0,49097.0,37838.0,3858.0
114,경기도,포천시,62925.0,37539.0,20753.0,4633.0
115,경기도,연천군,22658.0,13885.0,6806.0,1967.0
116,경기도,양평군,45984.0,29850.0,13513.0,2621.0
117,경기도,가평군,31054.0,19477.0,8935.0,2642.0
118,강원도,춘천시,124839.0,47183.0,73858.0,3798.0
119,강원도,원주시,133502.0,58889.0,70966.0,3647.0
120,강원도,강릉시,99246.0,45759.0,50120.0,3367.0
121,강원도,동해시,44933.0,21132.0,22150.0,1651.0
122,강원도,삼척시,40390.0,17971.0,20511.0,1908.0
123,강원도,태백시,26819.0,9958.0,15946.0,915.0
124,강원도,정선군,24529.0,8311.0,15190.0,1028.0
125,강원도,속초시,37582.0,19112.0,17209.0,1261.0
126,강원도,고성군,18943.0,10352.0,7584.0,1007.0
127,강원도,양양군,16946.0,8295.0,7722.0,929.0
128,강원도,인제군,17700.0,8963.0,7858.0,879.0
129,강원도,홍천군,35577.0,17713.0,16287.0,1577.0
130,강원도,횡성군,24898.0,11645.0,12116.0,1137.0
131,강원도,영월군,22245.0,7524.0,14026.0,695.0
132,강원도,평창군,24417.0,7516.0,16145.0,756.0
133,강원도,화천군,13436.0,6875.0,5796.0,765.0
134,강원도,양구군,11911.0,6022.0,5317.0,572.0
135,강원도,철원군,23811.0,12891.0,9642.0,1278.0
136,충청북도,청주시상당구,100216.0,46172.0,50754.0,3290.0
137,충청북도,청주시흥덕구,159875.0,69434.0,85301.0,5140.0
138,충청북도,충주시,94688.0,33714.0,57677.0,3297.0
139,충청북도,제천시,63341.0,31942.0,28593.0,2806.0
140,충청북도,단양군,18918.0,9662.0,8005.0,1251.0
141,충청북도,청원군,69613.0,28394.0,37551.0,3668.0
142,충청북도,영동군,28879.0,14834.0,11227.0,2818.0
143,충청북도,보은군,21759.0,10039.0,9811.0,1909.0
144,충청북도,옥천군,30568.0,14162.0,13583.0,2823.0
145,충청북도,음성군,40234.0,19413.0,18900.0,1921.0
146,충청북도,진천군,29291.0,16933.0,11064.0,1294.0
147,충청북도,괴산군,22357.0,10321.0,10234.0,1802.0
148,충청북도,증평군,16654.0,8626.0,7213.0,815.0
149,충청남도,천안시서북구,104685.0,16178.0,44605.0,43902.0
150,충청남도,천안시동남구,89013.0,14851.0,36201.0,37961.0
151,충청남도,공주시,61209.0,6888.0,27856.0,26465.0
152,충청남도,보령시,53693.0,8829.0,18112.0,26752.0
153,충청남도,아산시,99872.0,18577.0,44329.0,36966.0
154,충청남도,서산시,66626.0,12333.0,24599.0,29694.0
155,충청남도,태안군,36024.0,6315.0,12754.0,16955.0
156,충청남도,금산군,28884.0,6328.0,11927.0,10629.0
157,충청남도,연기군,37808.0,4265.0,18037.0,15506.0
158,충청남도,논산시,61119.0,9207.0,36197.0,15715.0
159,충청남도,계룡시,19326.0,4762.0,9124.0,5440.0
160,충청남도,부여군,41886.0,7878.0,14388.0,19620.0
161,충청남도,서천군,34167.0,5476.0,13936.0,14755.0
162,충청남도,홍성군,43145.0,9686.0,14404.0,19055.0
163,충청남도,청양군,20471.0,4168.0,6113.0,10190.0
164,충청남도,예산군,44102.0,8503.0,11182.0,24417.0
165,충청남도,당진군,59833.0,10479.0,23524.0,25830.0
166,전라북도,전주시완산구,140319.0,32656.0,86435.0,21228.0
167,전라북도,전주시덕진구,107769.0,22696.0,66511.0,18562.0
168,전라북도,군산시,113614.0,17270.0,81040.0,15304.0
169,전라북도,익산시,126680.0,23394.0,84786.0,18500.0
170,전라북도,정읍시,64655.0,8977.0,46746.0,8932.0
171,전라북도,남원시,47635.0,5343.0,35825.0,6467.0
172,전라북도,김제시,51879.0,8034.0,34695.0,9150.0
173,전라북도,완주군,41784.0,6653.0,26880.0,8251.0
174,전라북도,진안군,17962.0,2874.0,11212.0,3876.0
175,전라북도,무주군,16739.0,2369.0,11135.0,3235.0
176,전라북도,장수군,15503.0,2015.0,10571.0,2917.0
177,전라북도,임실군,19575.0,3221.0,12914.0,3440.0
178,전라북도,순창군,19663.0,2519.0,13066.0,4078.0
179,전라북도,고창군,36925.0,8421.0,22724.0,5780.0
180,전라북도,부안군,35409.0,4622.0,25440.0,5347.0
181,전라남도,목포시,91633.0,11266.0,60315.0,20052.0
182,전라남도,여수시,130630.0,14500.0,89520.0,26610.0
183,전라남도,순천시,122961.0,15447.0,79796.0,27718.0
184,전라남도,나주시,52381.0,5423.0,34572.0,12386.0
185,전라남도,광양시,65132.0,9687.0,40665.0,14780.0
186,전라남도,담양군,26959.0,3363.0,17679.0,5917.0
187,전라남도,장성군,27488.0,3596.0,18042.0,5850.0
188,전라남도,곡성군,20586.0,2123.0,12527.0,5936.0
189,전라남도,구례군,18290.0,2213.0,11513.0,4564.0
190,전라남도,고흥군,47398.0,5824.0,30801.0,10773.0
191,전라남도,보성군,29707.0,3948.0,18469.0,7290.0
192,전라남도,화순군,37821.0,4786.0,24217.0,8818.0
193,전라남도,장흥군,25238.0,2666.0,16393.0,6179.0
194,전라남도,강진군,24018.0,3123.0,15993.0,4902.0
195,전라남도,완도군,33815.0,3160.0,24258.0,6397.0
196,전라남도,해남군,43884.0,4567.0,29676.0,9641.0
197,전라남도,진도군,21290.0,1600.0,12564.0,7126.0
198,전라남도,영암군,25948.0,2373.0,19368.0,4207.0
199,전라남도,무안군,37879.0,7309.0,22975.0,7595.0
200,전라남도,영광군,32088.0,7284.0,18098.0,6706.0
201,전라남도,함평군,21768.0,5581.0,12187.0,4000.0
202,전라남도,신안군,30424.0,3709.0,20356.0,6359.0
203,경상북도,포항시북구,107009.0,81746.0,10702.0,14561.0
204,경상북도,포항시남구,105544.0,77479.0,12764.0,15301.0
205,경상북도,울릉군,7404.0,5825.0,648.0,931.0
206,경상북도,경주시,124949.0,91802.0,12039.0,21108.0
207,경상북도,김천시,67692.0,51237.0,6967.0,9488.0
208,경상북도,안동시,84290.0,63228.0,8297.0,12765.0
209,경상북도,구미시,138048.0,90050.0,21610.0,26388.0
210,경상북도,영주시,60339.0,43016.0,7707.0,9616.0
211,경상북도,영천시,52224.0,37647.0,5719.0,8858.0
212,경상북도,상주시,60543.0,43956.0,5954.0,10633.0
213,경상북도,문경시,42310.0,31494.0,4084.0,6732.0
214,경상북도,예천군,31459.0,23284.0,2788.0,5387.0
215,경상북도,경산시,93632.0,67384.0,10574.0,15674.0
216,경상북도,청도군,26352.0,19919.0,2437.0,3996.0
217,경상북도,고령군,20154.0,14813.0,1909.0,3432.0
218,경상북도,성주군,26126.0,19230.0,2688.0,4208.0
219,경상북도,칠곡군,47947.0,32763.0,6827.0,8357.0
220,경상북도,군위군,17132.0,12372.0,1648.0,3112.0
221,경상북도,의성군,37008.0,27306.0,3907.0,5795.0
222,경상북도,청송군,17227.0,12362.0,2215.0,2650.0
223,경상북도,영양군,12552.0,8995.0,1529.0,2028.0
224,경상북도,영덕군,25906.0,20358.0,2028.0,3520.0
225,경상북도,봉화군,22772.0,15060.0,4204.0,3508.0
226,경상북도,울진군,31972.0,22486.0,4102.0,5384.0
227,경상남도,창원시,224868.0,97364.0,125343.0,2161.0
228,경상남도,마산시,191127.0,97429.0,91410.0,2288.0
229,경상남도,진주시,164337.0,72465.0,89377.0,2495.0
230,경상남도,진해시,77361.0,38717.0,37384.0,1260.0
231,경상남도,통영시,67402.0,35601.0,30323.0,1478.0
232,경상남도,고성군,32473.0,15614.0,15784.0,1075.0
233,경상남도,사천시,61019.0,29234.0,30079.0,1706.0
234,경상남도,김해시,195079.0,73316.0,119063.0,2700.0
235,경상남도,밀양시,58178.0,28365.0,28100.0,1713.0
236,경상남도,거제시,93847.0,40245.0,51636.0,1966.0
237,경상남도,의령군,20448.0,9376.0,10059.0,1013.0
238,경상남도,함안군,38163.0,17578.0,19534.0,1051.0
239,경상남도,창녕군,35573.0,19057.0,15224.0,1292.0
240,경상남도,양산시,102673.0,47551.0,53195.0,1927.0
241,경상남도,하동군,33213.0,13817.0,18373.0,1023.0
242,경상남도,남해군,33047.0,10831.0,21299.0,917.0
243,경상남도,함양군,26715.0,12791.0,12885.0,1039.0
244,경상남도,산청군,22967.0,11403.0,10830.0,734.0
245,경상남도,거창군,37039.0,18256.0,17216.0,1567.0
246,경상남도,합천군,34161.0,16976.0,15222.0,1963.0
247,제주특별자치도,제주시,195450.0,36447.0,74905.0,84098.0
248,제주특별자치도,서귀포시,80606.0,11739.0,33439.0,35428.0
