,광역시도,시군,pop,saenuri,minju,gita
0,서울특별시,종로구,81113.0,34599.0,45020.0,1494.0
1,서울특별시,중구,65393.0,28273.0,35662.0,1458.0
2,서울특별시,용산구,118198.0,58479.0,57807.0,1912.0
3,서울특별시,성동구,146873.0,62376.0,81645.0,2852.0
4,서울특별시,광진구,177484.0,72160.0,102449.0,2875.0
5,서울특별시,동대문구,179384.0,76325.0,99568.0,3491.0
6,서울특별시,중랑구,189523.0,80700.0,104905.0,3918.0
7,서울특별시,성북구,229201.0,92897.0,131919.0,4385.0
8,서울특별시,강북구,155350.0,64944.0,87128.0,3278.0
9,서울특별시,도봉구,173232.0,75252.0,94590.0,3390.0
10,서울특별시,노원구,284532.0,115716.0,163418.0,5398.0
11,서울특별시,은평구,233896.0,93022.0,136656.0,4218.0
12,서울특별시,서대문구,159840.0,64341.0,92500.0,2999.0
13,서울특별시,마포구,195289.0,74548.0,117343.0,3398.0
14,서울특별시,양천구,236667.0,97435.0,135186.0,4046.0
15,서울특별시,강서구,273853.0,111451.0,157382.0,5020.0
16,서울특별시,구로구,212735.0,85806.0,123139.0,3790.0
17,서울특별시,금천구,113723.0,45315.0,66005.0,2403.0
18,서울특별시,영등포구,194093.0,82509.0,108244.0,3340.0
19,서울특별시,동작구,214255.0,87813.0,122927.0,3515.0
20,서울특별시,관악구,259673.0,91832.0,163100.0,4741.0
21,서울특별시,서초구,220442.0,114462.0,103328.0,2652.0
22,서울특별시,강남구,270052.0,145512.0,120645.0,3895.0
23,서울특별시,송파구,329721.0,150228.0,174892.0,4601.0
24,서울특별시,강동구,234375.0,103874.0,126713.0,3788.0
25,부산광역시,중구,23404.0,12576.0,10057.0,771.0
26,부산광역시,서구,55778.0,29893.0,24088.0,1797.0
27,부산광역시,동구,47730.0,25288.0,20693.0,1749.0
28,부산광역시,영도구,60321.0,30436.0,27462.0,2423.0
29,부산광역시,부산진구,180227.0,88196.0,85731.0,6300.0
30,부산광역시,동래구,130592.0,64409.0,62544.0,3639.0
31,부산광역시,남구,137349.0,66903.0,66081.0,4365.0
32,부산광역시,북구,139860.0,65060.0,69774.0,5026.0
33,부산광역시,해운대구,188267.0,91704.0,91013.0,5550.0
34,부산광역시,기장군,62794.0,29611.0,30625.0,2558.0
35,부산광역시,사하구,152223.0,74278.0,72657.0,5288.0
36,부산광역시,금정구,120177.0,59797.0,56557.0,3823.0
37,부산광역시,강서구,35024.0,16332.0,17199.0,1493.0
38,부산광역시,연제구,99853.0,48384.0,48616.0,2853.0
39,부산광역시,수영구,82961.0,41788.0,39210.0,1963.0
40,부산광역시,사상구,112607.0,53271.0,54918.0,4418.0
41,대구광역시,중구,35719.0,20419.0,13410.0,1890.0
42,대구광역시,동구,151471.0,86217.0,56920.0,8334.0
43,대구광역시,서구,91230.0,56272.0,29458.0,5500.0
44,대구광역시,남구,70076.0,42488.0,24071.0,3517.0
45,대구광역시,북구,179341.0,99100.0,70646.0,9595.0
46,대구광역시,수성구,201364.0,99577.0,94715.0,7072.0
47,대구광역시,달서구,249724.0,134637.0,103302.0,11785.0
48,대구광역시,달성군,73713.0,42465.0,26369.0,4879.0
49,인천광역시,중구,48565.0,26324.0,20788.0,1453.0
50,인천광역시,동구,36534.0,19573.0,15605.0,1356.0
51,인천광역시,남구,174258.0,92490.0,76984.0,4784.0
52,인천광역시,연수구,136706.0,71942.0,61389.0,3375.0
53,인천광역시,남동구,215359.0,102688.0,106433.0,6238.0
54,인천광역시,부평구,237759.0,108912.0,121970.0,6877.0
55,인천광역시,계양구,143387.0,61275.0,78343.0,3769.0
56,인천광역시,서구,199733.0,98389.0,96162.0,5182.0
57,인천광역시,강화군,38611.0,24762.0,11854.0,1995.0
58,인천광역시,옹진군,13590.0,8722.0,4027.0,841.0
59,광주광역시,동구,51253.0,1889.0,28605.0,20759.0
60,광주광역시,서구,142219.0,4481.0,82754.0,54984.0
61,광주광역시,남구,101811.0,3160.0,57010.0,41641.0
62,광주광역시,북구,198547.0,6840.0,113138.0,78569.0
63,광주광역시,광산구,156178.0,5244.0,85696.0,65238.0
64,대전광역시,동구,104754.0,51063.0,48607.0,5084.0
65,대전광역시,중구,116220.0,55956.0,55596.0,4668.0
66,대전광역시,서구,209058.0,96154.0,104428.0,8476.0
67,대전광역시,유성구,138723.0,57099.0,75806.0,5818.0
68,대전광역시,대덕구,83916.0,41117.0,38325.0,4474.0
69,울산광역시,중구,106699.0,66129.0,24913.0,15657.0
70,울산광역시,남구,151643.0,95192.0,36887.0,19564.0
71,울산광역시,동구,81696.0,44961.0,17794.0,18941.0
72,울산광역시,북구,79777.0,42353.0,24380.0,13044.0
73,울산광역시,울주군,92066.0,57676.0,19762.0,14628.0
74,세종특별자치시,세종특별자치시,63629.0,26451.0,36203.0,975.0
75,경기도,수원시장안구,135841.0,64235.0,68152.0,3454.0
76,경기도,수원시권선구,121183.0,58441.0,59901.0,2841.0
77,경기도,수원시팔달구,105744.0,54133.0,48962.0,2649.0
78,경기도,수원시영통구,142435.0,58276.0,81424.0,2735.0
79,경기도,성남시수정구,97639.0,43871.0,50514.0,3254.0
80,경기도,성남시중원구,109445.0,49739.0,55787.0,3919.0
81,경기도,성남시분당구,241915.0,123412.0,114263.0,4240.0
82,경기도,의정부시,171491.0,86274.0,80456.0,4761.0
83,경기도,안양시만안구,113522.0,56134.0,54398.0,2990.0
84,경기도,안양시동안구,168487.0,78311.0,86376.0,3800.0
85,경기도,부천시원미구,188538.0,84259.0,99347.0,4932.0
86,경기도,부천시소사구,99946.0,45879.0,51284.0,2783.0
87,경기도,부천시오정구,70351.0,31681.0,36284.0,2386.0
88,경기도,광명시,158332.0,67520.0,86198.0,4614.0
89,경기도,평택시,171360.0,94395.0,70899.0,6066.0
90,경기도,양주시,79267.0,43164.0,33414.0,2689.0
91,경기도,동두천시,39840.0,22616.0,15302.0,1922.0
92,경기도,안산시상록구,144770.0,64437.0,75485.0,4848.0
93,경기도,안산시단원구,124880.0,56336.0,64616.0,3928.0
94,경기도,고양시덕양구,180211.0,86542.0,88974.0,4695.0
95,경기도,고양시일산동구,121054.0,57360.0,60734.0,2960.0
96,경기도,고양시일산서구,128294.0,59921.0,65400.0,2973.0
97,경기도,과천시,37348.0,18442.0,17936.0,970.0
98,경기도,의왕시,76051.0,36356.0,37967.0,1728.0
99,경기도,구리시,80637.0,39001.0,38521.0,3115.0
100,경기도,남양주시,239611.0,118274.0,115329.0,6008.0
