,광역시도,시군,pop,minju,hanguk,gita
0,서울특별시,종로구,81195.0,41148.0,,21270.0
1,서울특별시,중구,66474.0,34243.0,,16613.0
2,서울특별시,용산구,116054.0,53964.0,,31017.0
3,서울특별시,성동구,157863.0,84106.0,,38879.0
4,서울특별시,광진구,180373.0,99366.0,,42401.0
5,서울특별시,동대문구,178077.0,93913.0,,43180.0
6,서울특별시,중랑구,198943.0,109318.0,,43720.0
7,서울특별시,성북구,222184.0,119898.0,,55012.0
8,서울특별시,강북구,156279.0,85839.0,,36903.0
9,서울특별시,도봉구,173751.0,92172.0,,42480.0
10,서울특별시,노원구,283039.0,150657.0,,77921.0
11,서울특별시,은평구,238193.0,131287.0,,57835.0
12,서울특별시,서대문구,163969.0,87486.0,,41969.0
13,서울특별시,마포구,197264.0,105956.0,,51059.0
14,서울특별시,양천구,238559.0,125557.0,,59222.0
15,서울특별시,강서구,303651.0,168733.0,,70242.0
16,서울특별시,구로구,211169.0,113799.0,,48389.0
17,서울특별시,금천구,116953.0,64662.0,,27135.0
18,서울특별시,영등포구,195840.0,100899.0,,48275.0
19,서울특별시,동작구,213232.0,114563.0,,52575.0
20,서울특별시,관악구,265465.0,152069.0,,65710.0
21,서울특별시,서초구,226905.0,96452.0,,60543.0
22,서울특별시,강남구,266153.0,107743.0,,71105.0
23,서울특별시,송파구,348956.0,171592.0,,87220.0
24,서울특별시,강동구,218557.0,114075.0,,50439.0
25,부산광역시,중구,22499.0,11730.0,,1776.0
26,부산광역시,서구,55377.0,27919.0,,4698.0
27,부산광역시,동구,46288.0,23476.0,,3971.0
28,부산광역시,영도구,61332.0,34279.0,,4874.0
29,부산광역시,부산진구,184063.0,98314.0,,18395.0
30,부산광역시,동래구,135595.0,72895.0,,12585.0
31,부산광역시,남구,140451.0,75978.0,,12241.0
32,부산광역시,북구,152125.0,85791.0,,13069.0
33,부산광역시,해운대구,200332.0,109622.0,,17579.0
34,부산광역시,기장군,76285.0,43966.0,,7506.0
35,부산광역시,사하구,160688.0,88757.0,,13738.0
36,부산광역시,금정구,126589.0,66972.0,,11479.0
37,부산광역시,강서구,55518.0,32491.0,,4826.0
38,부산광역시,연제구,105913.0,57573.0,,9525.0
39,부산광역시,수영구,90474.0,47799.0,,7591.0
40,부산광역시,사상구,114155.0,62907.0,,10556.0
41,대구광역시,중구,39863.0,14983.0,,3240.0
42,대구광역시,동구,171627.0,65465.0,,15784.0
43,대구광역시,서구,89634.0,28180.0,,7575.0
44,대구광역시,남구,,,,
45,대구광역시,북구,205858.0,83084.0,,16746.0
46,대구광역시,수성구,211819.0,84824.0,,15273.0
47,대구광역시,달서구,266010.0,108602.0,,21269.0
48,대구광역시,달성군,,,,
49,인천광역시,중구,53666.0,29817.0,,4125.0
50,인천광역시,동구,34757.0,17288.0,,2814.0
51,인천광역시,남구,183835.0,97347.0,,15210.0
52,인천광역시,연수구,160548.0,90969.0,,11388.0
53,인천광역시,남동구,246564.0,144979.0,,19340.0
54,인천광역시,부평구,241811.0,140735.0,,24421.0
55,인천광역시,계양구,143889.0,86747.0,,12456.0
56,인천광역시,서구,230166.0,137825.0,,17465.0
57,인천광역시,강화군,39940.0,14972.0,,3245.0
58,인천광역시,옹진군,13908.0,5507.0,,1497.0
59,광주광역시,동구,51550.0,42139.0,,5922.0
60,광주광역시,서구,147798.0,122803.0,,17832.0
61,광주광역시,남구,106294.0,88699.0,,12026.0
62,광주광역시,북구,210587.0,173766.0,,26967.0
63,광주광역시,광산구,178023.0,146588.0,,23023.0
64,대전광역시,동구,106341.0,55928.0,,14533.0
65,대전광역시,중구,116950.0,60878.0,,14440.0
66,대전광역시,서구,226532.0,127151.0,,28056.0
67,대전광역시,유성구,,,,
68,대전광역시,대덕구,88850.0,47710.0,,9652.0
69,울산광역시,중구,128337.0,65014.0,,9096.0
70,울산광역시,남구,176694.0,89518.0,,11936.0
71,울산광역시,동구,86763.0,47190.0,,11155.0
72,울산광역시,북구,104132.0,58639.0,,11735.0
73,울산광역시,울주군,114772.0,56980.0,,8960.0
74,세종특별자치시,세종특별자치시,137603.0,96896.0,,16161.0
75,경기도,수원시장안구,121951.0,64965.0,,11581.0
76,경기도,수원시권선구,197363.0,110066.0,,18164.0
77,경기도,수원시팔달구,88388.0,44464.0,,7867.0
78,경기도,수원시영통구,,,,
79,경기도,성남시수정구,115704.0,71400.0,,9376.0
80,경기도,성남시중원구,112200.0,70848.0,,8442.0
81,경기도,성남시분당구,266966.0,141379.0,,23477.0
82,경기도,의정부시,,,,
83,경기도,안양시만안구,129861.0,70458.0,,11612.0
84,경기도,안양시동안구,174899.0,94546.0,,17466.0
85,경기도,부천시,396259.0,229343.0,,42496.0
86,경기도,광명시,,,,
87,경기도,평택시,209742.0,112564.0,,20804.0
88,경기도,양주시,94177.0,51463.0,,8474.0
89,경기도,동두천시,43685.0,21857.0,,4245.0
90,경기도,안산시상록구,,,,
91,경기도,안산시단원구,134644.0,74194.0,,16156.0
92,경기도,고양시덕양구,232142.0,128755.0,,27880.0
93,경기도,고양시일산동구,,,,
94,경기도,고양시일산서구,132848.0,74380.0,,14607.0
95,경기도,과천시,32773.0,15579.0,,3783.0
96,경기도,의왕시,82375.0,43729.0,,8361.0
97,경기도,구리시,,,,
98,경기도,남양주시,294809.0,168295.0,,26781.0
99,경기도,오산시,90096.0,52651.0,,8578.0
100,경기도,화성시,313790.0,185121.0,,31178.0
101,경기도,시흥시,,,,
102,경기도,군포시,144561.0,80443.0,,14794.0
103,경기도,하남시,115416.0,62653.0,,9807.0
104,경기도,파주시,193802.0,108579.0,,19765.0
105,경기도,여주시,,,,
106,경기도,이천시,93703.0,47797.0,,8370.0
107,경기도,용인시처인구,106690.0,55882.0,,9127.0
108,경기도,용인시수지구,139112.0,71443.0,,12343.0
109,경기도,용인시기흥구,,,,
110,경기도,안성시,82039.0,42960.0,,7769.0
111,경기도,김포시,180079.0,101724.0,,16296.0
112,경기도,광주시,156147.0,91195.0,,11791.0
113,경기도,포천시,,,,
114,경기도,연천군,24793.0,11383.0,,2419.0
115,경기도,양평군,60999.0,26225.0,,7091.0
116,경기도,가평군,35332.0,15085.0,,3799.0
117,강원도,춘천시,144282.0,96699.0,,2559.0
118,강원도,원주시,159235.0,103811.0,,2364.0
119,강원도,강릉시,108772.0,62434.0,,2252.0
120,강원도,동해시,46923.0,29034.0,,1106.0
121,강원도,삼척시,41032.0,25401.0,,1262.0
122,강원도,태백시,25298.0,15354.0,,672.0
123,강원도,정선군,23092.0,14708.0,,645.0
124,강원도,속초시,40493.0,26237.0,,813.0
125,강원도,고성군,18354.0,11620.0,,561.0
126,강원도,양양군,17864.0,10931.0,,502.0
127,강원도,인제군,19632.0,12988.0,,583.0
128,강원도,홍천군,39971.0,25477.0,,1093.0
129,강원도,횡성군,27945.0,16987.0,,882.0
130,강원도,영월군,23980.0,14032.0,,584.0
131,강원도,평창군,25475.0,15765.0,,554.0
132,강원도,화천군,16229.0,10885.0,,505.0
133,강원도,양구군,14386.0,9171.0,,505.0
134,강원도,철원군,26230.0,16913.0,,848.0
135,충청북도,청주시상당구,80162.0,47260.0,,8982.0
136,충청북도,청주시서원구,100218.0,60096.0,,11823.0
137,충청북도,청주시흥덕구,110108.0,67695.0,,14299.0
138,충청북도,청주시청원구,,,,
139,충청북도,충주시,103606.0,62569.0,,9784.0
140,충청북도,제천시,70289.0,41702.0,,7007.0
141,충청북도,단양군,19078.0,10661.0,,1610.0
142,충청북도,영동군,,,,
143,충청북도,보은군,22735.0,10627.0,,2252.0
144,충청북도,옥천군,30485.0,17389.0,,3649.0
145,충청북도,음성군,47528.0,30582.0,,4488.0
146,충청북도,진천군,,,,
147,충청북도,괴산군,25078.0,13855.0,,2826.0
148,충청북도,증평군,19435.0,11678.0,,2522.0
149,충청남도,천안시서북구,159458.0,117098.0,,4933.0
150,충청남도,천안시동남구,106417.0,69999.0,,3712.0
151,충청남도,공주시,56756.0,32526.0,,2777.0
152,충청남도,보령시,,,,
153,충청남도,아산시,129980.0,84978.0,,4831.0
154,충청남도,서산시,82003.0,49800.0,,3786.0
155,충청남도,태안군,37240.0,19534.0,,2874.0
156,충청남도,금산군,,,,
157,충청남도,논산시,62960.0,35905.0,,3184.0
158,충청남도,계룡시,22134.0,13821.0,,980.0
159,충청남도,당진시,76663.0,45971.0,,3657.0
160,충청남도,부여군,,,,
161,충청남도,서천군,33965.0,17336.0,,3626.0
162,충청남도,홍성군,51044.0,29329.0,,2831.0
163,충청남도,청양군,21229.0,10776.0,,1507.0
164,충청남도,예산군,,,,
165,전라북도,전주시완산구,193303.0,121422.0,,67676.0
166,전라북도,전주시덕진구,130716.0,80531.0,,47472.0
167,전라북도,군산시,134447.0,98640.0,,31332.0
168,전라북도,익산시,,,,
169,전라북도,정읍시,64334.0,47427.0,,15439.0
170,전라북도,남원시,51530.0,37718.0,,12280.0
171,전라북도,김제시,51664.0,37736.0,,12686.0
172,전라북도,완주군,,,,
173,전라북도,진안군,17585.0,11593.0,,5079.0
174,전라북도,무주군,17370.0,11348.0,,5258.0
175,전라북도,장수군,16591.0,10807.0,,5204.0
176,전라북도,임실군,,,,
177,전라북도,순창군,20603.0,14789.0,,5149.0
178,전라북도,고창군,37333.0,27087.0,,9201.0
179,전라북도,부안군,34843.0,26019.0,,7876.0
180,전라남도,목포시,119950.0,87419.0,,29887.0
181,전라남도,여수시,153554.0,120941.0,,26415.0
182,전라남도,순천시,144341.0,113180.0,,26219.0
183,전라남도,나주시,,,,
184,전라남도,광양시,83720.0,63778.0,,15732.0
185,전라남도,담양군,29739.0,22127.0,,6251.0
186,전라남도,장성군,29751.0,20820.0,,7637.0
187,전라남도,곡성군,,,,
188,전라남도,구례군,19333.0,13080.0,,5530.0
189,전라남도,고흥군,47954.0,31631.0,,14526.0
190,전라남도,보성군,29110.0,20429.0,,6661.0
191,전라남도,화순군,,,,
192,전라남도,장흥군,26630.0,18636.0,,6968.0
193,전라남도,강진군,23902.0,17079.0,,6129.0
194,전라남도,완도군,34573.0,28135.0,,5642.0
195,전라남도,해남군,,,,
196,전라남도,진도군,21408.0,15245.0,,5499.0
197,전라남도,영암군,31569.0,22047.0,,8268.0
198,전라남도,무안군,46087.0,33590.0,,11208.0
199,전라남도,영광군,,,,
200,전라남도,함평군,22405.0,14892.0,,6528.0
201,전라남도,신안군,30146.0,19438.0,,9697.0
202,경상북도,포항시북구,139955.0,57440.0,,18309.0
203,경상북도,포항시남구,119400.0,49535.0,,15356.0
204,경상북도,울릉군,7479.0,2087.0,,1170.0
205,경상북도,경주시,,,,
206,경상북도,김천시,83567.0,26500.0,,11789.0
207,경상북도,안동시,94434.0,28292.0,,26140.0
208,경상북도,구미시,187236.0,78892.0,,25741.0
209,경상북도,영주시,,,,
210,경상북도,영천시,60058.0,16867.0,,10421.0
211,경상북도,상주시,61995.0,15617.0,,9769.0
212,경상북도,문경시,46221.0,10790.0,,8873.0
213,경상북도,예천군,,,,
214,경상북도,경산시,118506.0,41503.0,,18773.0
215,경상북도,청도군,28370.0,7291.0,,3855.0
216,경상북도,고령군,20295.0,5002.0,,3695.0
217,경상북도,성주군,,,,
218,경상북도,칠곡군,54843.0,21124.0,,7504.0
219,경상북도,군위군,18641.0,3703.0,,4184.0
220,경상북도,의성군,36240.0,7578.0,,7632.0
221,경상북도,청송군,,,,
222,경상북도,영양군,12905.0,3348.0,,2948.0
223,경상북도,영덕군,26337.0,7568.0,,3732.0
224,경상북도,봉화군,23343.0,5960.0,,5693.0
225,경상북도,울진군,,,,
226,경상남도,창원시의창구,135147.0,72745.0,,8336.0
227,경상남도,창원시성산구,125797.0,76104.0,,7677.0
228,경상남도,창원시마산합포구,99281.0,44305.0,,6043.0
229,경상남도,창원시마산회원구,,,,
230,경상남도,창원시진해구,93901.0,50350.0,,5891.0
231,경상남도,진주시,190842.0,96104.0,,11101.0
232,경상남도,통영시,72815.0,32916.0,,4398.0
233,경상남도,고성군,,,,
234,경상남도,사천시,65481.0,29390.0,,4304.0
235,경상남도,김해시,251998.0,161710.0,,12226.0
236,경상남도,밀양시,62115.0,27434.0,,3846.0
237,경상남도,거제시,,,,
238,경상남도,의령군,19912.0,7439.0,,1944.0
239,경상남도,함안군,40450.0,18045.0,,2680.0
240,경상남도,창녕군,39408.0,15083.0,,2439.0
241,경상남도,양산시,,,,
242,경상남도,하동군,33773.0,16052.0,,2682.0
243,경상남도,남해군,30728.0,13268.0,,2539.0
244,경상남도,함양군,27230.0,10915.0,,2312.0
245,경상남도,산청군,,,,
246,경상남도,거창군,39547.0,13919.0,,2606.0
247,경상남도,합천군,32499.0,10330.0,,2766.0
248,제주특별자치도,제주시,250176.0,97935.0,,143456.0
249,제주특별자치도,서귀포시,100767.0,39966.0,,58345.0
